Column1,Column3,Column4,Column5,Column7,Column8,Column11,Column12,Column15,Column20
KCEP,88.1,LAS VEGAS,NV,9.8,9.8,36-00-31,115-00-22,,POWER 88
KNKL,88.1,TREMONTON,UT,8.6,8.6,41-53-43,112-04-43,,AIR1
K201CH,88.1,CHENEGA BAY,AK,0.0,0.021,60-03-55,148-00-44,,
WCQS,88.1,ASHEVILLE,NC,5.0,5.0,35-35-23,82-40-25,5BA2,BPR NEWS
WUTC,88.1,CHATTANOOGA,TN,30.0,30.0,35-12-26,85-16-52,,
WKWP,88.1,WILLIAMSPORT,PA,0.5,0.5,41-14-37,77-00-11,,K-LOVE
WNLD,88.1,DECATUR,IL,1.0,1.0,39-48-35,88-59-31,,"FAITH, HOPE, FAMILY"
WDIY,88.1,ALLENTOWN,PA,0.0,0.3,40-33-54,75-26-26,,LEHIGH VALLEY COMMUNITY PUBLIC RADIO
K201CF,88.1,TICABOO,UT,0.0,0.008,37-51-26,110-42-41,,
WMBR,88.1,CAMBRIDGE,MA,0.64,0.64,42-21-42,71-05-08,7483,
WZXM,88.1,HARRISBURG,PA,0.54,0.54,40-15-44,76-53-11,59CA,WORD FM
K201CW,88.1,MOAB,UT,0.0,0.25,38-32-01,109-30-43,,CSN INTERNATIONAL
KBBG,88.1,WATERLOO,IA,9.5,9.5,42-30-45,92-19-24,,COMMUNICATE TO EDUCATE
K201DA,88.1,KING COVE,AK,0.0,0.25,55-03-37,162-19-43,,
K201IW,88.1,LAS VEGAS,NM,0.041,0.041,35-36-13,105-15-30,,KENW NPR NEW MEXICO
WBGM,88.1,NEW BERLIN,PA,0.55,0.55,40-53-27,76-59-54,57F4,
KGVA,88.1,FORT BELKNAP AGENCY,MT,95.0,95.0,48-11-18,108-42-36,21FA,THE VOICE OF THE NAKOTA & WHITE CLAY NATIONS
WNJT-FM,88.1,TRENTON,NJ,0.0,0.11,40-16-58,74-41-11,,NEW JERSEY PUBLIC RADIO
KRSD,88.1,SIOUX FALLS,SD,2.0,2.0,43-31-37,96-44-18,3EBB,CLASSICAL MPR
K201DI,88.1,GRANTS PASS,OR,0.0,0.023,42-27-06,123-17-47,,SPIRIT 88.9
WJTY,88.1,LANCASTER,WI,7.0,49.0,42-57-09,90-25-49,6E72,FAMILY LIFE RADIO
KEBR,88.1,SACRAMENTO,CA,0.0,8.4,38-14-50,121-30-03,,FAMILY RADIO
KAYB,88.1,SUNNYSIDE,WA,0.25,0.25,46-19-53,120-00-51,,AMERICAN FAMILY RADIO
KCUK,88.1,CHEVAK,AK,6.0,6.0,61-31-46,165-35-20,,NATIVE RADIO ONE
WZIP,88.1,AKRON,OH,7.5,7.5,41-04-58,81-38-02,,Z88
WHID,88.1,GREEN BAY,WI,17.0,17.0,44-22-35,88-00-05,67F7,IDEAS NETWORK
KWAS,88.1,BORGER,TX,5.0,1.5,35-40-42,101-23-18,,KINGDOM KEYS RADIO
W201BL,88.1,JACKSONVILLE,IL,0.027,0.027,39-43-18,90-11-45,,THE SONLIFE RADIO NETWORK
WAXG,88.1,MOUNT STERLING,KY,0.3,0.3,38-03-39,83-57-20,,AMERICAN FAMILY RADIO
K201DP,88.1,ST. GEORGE,UT,0.092,0.01,37-03-48,113-34-23,,CSN INTERNATIONAL
W201DN,88.1,SPRING GROVE,IL,0.019,0.019,42-28-49,88-11-42,,CSN INTERNATIONAL
K201CY,88.1,CLOVIS,NM,0.17,0.17,34-26-23,103-12-44,,STAR 88
KBTL,88.1,EL DORADO,KS,0.4,0.4,37-48-16,96-53-02,149D,88.1 THE GRIZZ
WTRT,88.1,BENTON,KY,2.3,2.3,36-48-35,88-21-33,,THRIVE FM
KBCU,88.1,NORTH NEWTON,KS,0.15,0.15,38-04-26,97-20-35,,BETHEL COLLEGE RADIO
K201EU,88.1,KATY,TX,0.25,0.25,29-49-19,95-52-58,,RADIO ALELUYA
K201EP,88.1,HEREFORD,TX,0.25,0.25,34-45-00,102-22-54,,RADIO CRISTIANA
WRGP,88.1,HOMESTEAD,FL,0.165,0.165,25-32-24,80-28-07,,THE ROAR
WVYC,88.1,YORK,PA,0.036,0.0,39-56-49,76-43-47,,THE VOICE OF YORK COLLEGE
KDPS,88.1,DES MOINES,IA,5.2,5.2,41-35-02,93-38-30,,
WCWP,88.1,BROOKVILLE,NY,0.1,0.1,40-49-00,73-35-49,,
WLWX,88.1,WHEATON,IL,0.25,0.25,41-52-09,88-05-56,6133,K-LOVE 90S
WCRJ,88.1,JACKSONVILLE,FL,8.0,8.0,30-16-34,81-33-53,5BB3,THE JOY FM NETWORK
K201ER,88.1,HOLBROOK,AZ,0.25,0.25,34-55-05,110-08-27,,
K201DX,88.1,WALLA WALLA,WA,0.01,0.01,45-59-38,118-10-47,243E,AIR1
W201CN,88.1,AFTON,VA,0.125,0.125,38-03-58,78-47-54,,WVTF MUSIC
K201FD,88.1,FORKS,WA,0.011,0.011,48-00-20,124-24-48,,CSN INTERNATIONAL
WAMP,88.1,JACKSON,TN,0.75,0.75,35-39-38,88-51-30,,AMERICAN FAMILY RADIO
KCRY,88.1,MOJAVE,CA,10.5,10.5,35-07-20,118-12-25,,NATIONAL PUBLIC RADIO FOR MORE OF SOUTHERN CALIFORNIA
WMHS,88.1,PIKE CREEK,DE,0.0,0.088,39-45-27,75-40-02,,THE EDGE
KNTU,88.1,MCKINNEY,TX,55.0,55.0,33-17-24,97-08-11,3456,88.1 INDIE
WVRR,88.1,POINT PLEASANT,WV,3.0,3.0,38-50-49,82-07-50,,WALK FM
K201JD,88.1,PROVO,UT,0.0,0.01,40-05-26,111-49-20,,EFFECT RADIO
WUBJ,88.1,JAMESTOWN,NY,2.7,2.7,42-10-47,79-20-29,,BUFFALO'S NPR NEWS STATION
KAYT,88.1,JENA,LA,15.5,70.0,31-33-55,92-33-00,,
WAZD,88.1,SAVANNAH,TN,0.38,0.38,35-12-58,88-14-30,,AMERICAN FAMILY RADIO
K201GD,88.1,KIRKSVILLE,MO,0.01,0.01,40-10-29,92-33-18,,THE SONLIFE RADIO NETWORK
KBPW,88.1,HAMPTON,AR,0.0,60.0,33-32-11,92-28-07,,AMERICAN FAMILY RADIO
WLWJ,88.1,PETERSBURG,IL,6.0,6.0,40-00-05,89-41-49,,GREAT NEWS RADIO
WJYJ,88.1,HICKORY,NC,26.5,21.0,35-43-34,81-08-52,,JOY FM
W201CF,88.1,BALDWIN,MI,0.0,0.055,43-54-02,85-45-34,,CSN INTERNATIONAL
WAES,88.1,LINCOLNSHIRE,IL,0.15,0.15,42-11-59,87-56-49,,88.1 STEVENSON RADIO
KRUA,88.1,ANCHORAGE,AK,0.32,0.32,61-20-09,149-30-56,,KRUA 88.1 FM THE EDGE
K201AG,88.1,NUIQSUT,AK,0.2,0.2,70-12-50,150-59-26,,TOP OF THE WORLD RADIO
WAXR,88.1,GENESEO,IL,0.0,3.0,41-28-47,90-16-08,,AMERICAN FAMILY RADIO
K201JA,88.1,HURON,SD,0.25,0.25,44-20-33,98-14-38,,K-LOVE
KKRI,88.1,POCOLA,OK,0.0,18.5,35-13-30,94-18-04,2C2A,AIR1
K201FK,88.1,BURLINGTON,CO,0.0,0.205,39-17-41,102-15-37,,CSN INTERNATIONAL
KLFC,88.1,BRANSON,MO,1.8,1.8,36-33-06,93-14-17,2D90,LIFE FM
WBMF,88.1,CRETE,IL,0.09,0.09,41-25-17,87-38-39,,THE SONLIFE RADIO NETWORK
WKRY,88.1,VERSAILLES,IN,0.0,0.5,39-04-06,85-15-58,,YOUR GOSPEL STATION
W201CD,88.1,ITHACA,NY,0.053,0.053,42-25-45,76-27-03,D168,ITHACA RADIO
WSOG,88.1,SPRING VALLEY,IL,0.0,4.0,41-17-32,89-07-59,,WSOG WITNESSING THE SPIRIT OF GOD 88.1 FM
K201IY,88.1,HOUSTON,TX,0.001,0.001,29-33-45,95-30-36,,RADIO ALELUYA
WAYH,88.1,HARVEST,AL,3.5,3.5,34-49-08,86-44-19,571F,WAY FM
K201AE,88.1,"COALVILLE, ETC.",UT,0.115,0.115,40-51-18,111-28-44,,COMMUNITY VOICE
WLRA,88.1,LOCKPORT,IL,0.14,0.14,41-36-10,88-04-49,736E,THE START
WAYF,88.1,WEST PALM BEACH,FL,0.05,50.0,26-35-20,80-12-44,571D,WAY FM
WKNC-FM,88.1,RALEIGH,NC,25.0,25.0,35-47-15,78-40-14,A764,THE REVOLUTION
WHYT,88.1,GOODLAND TOWNSHIP,MI,0.0,6.0,43-10-32,83-04-02,69A7,SMILE FM MICHIGAN'S POSITIVE HITS
K201CO,88.1,SHELBY,MT,0.0,0.25,48-30-13,111-51-58,,YOUR NETWORK OF PRAISE
KGKV,88.1,DOSS,TX,6.0,6.0,30-22-22,99-05-02,,K-LOVE
KMSI,88.1,MOORE,OK,50.0,50.0,35-12-07,97-35-19,318C,OASIS NETWORK
WMBL,88.1,MITCHELL,IN,0.0,1.0,38-45-50,86-31-15,,MOODY RADIO
WJPG,88.1,CAPE MAY COURT HOUSE,NJ,0.0,1.5,39-07-47,74-47-18,6DF8,SOUTH JERSEY`S PRAISE FM
K201HO,88.1,RENO,NV,0.075,0.075,39-12-59,119-47-26,,YOUR CHRISTIAN COMPANION
KDNK,88.1,GLENWOOD SPRINGS,CO,1.2,1.07,39-25-08,107-22-12,1948,KDNK 88.1 COMMUNITY RADIO
KMPQ,88.1,ROSEBURG,OR,0.95,0.95,43-12-22,123-21-50,,
KQNC,88.1,QUINCY,CA,0.5,0.5,39-56-14,120-56-51,,THE NPR STATION
KUYI,88.1,HOTEVILLA,AZ,69.0,69.0,35-48-29,110-16-23,,HOPI RADIO
W201CH,88.1,S. CHARLESTON,SC,0.0,0.013,32-47-56,79-53-50,,EFFECT RADIO
KKJZ,88.1,LONG BEACH,CA,30.0,30.0,33-47-58,118-09-43,2B6B,K-JAZZ
K201EN,88.1,EVERETT,WA,0.0,0.005,48-03-04,121-51-39,4A26,AIR1
K201DV,88.1,BROOKINGS,OR,0.0,0.023,41-57-46,124-11-00,,
WKGO,88.1,MURRYSVILLE,PA,0.001,1.0,40-31-12,79-39-29,,
KGNZ,88.1,ABILENE,TX,91.0,91.0,32-13-47,99-37-42,2143,KGNZ 88.1 LIFE CHANGING MUSIC
K201FX,88.1,RENO,TX,0.0,0.092,33-37-10,95-32-51,,EFFECT RADIO
WYPF,88.1,FREDERICK,MD,1.0,1.0,39-29-31,77-30-00,,YOUR NPR NEWS STATION
KRRB,88.1,KUNA,ID,45.0,45.0,43-37-15,117-12-35,3E9F,REJOICE RADIO
WAYD,88.1,AUBURN,KY,1.0,1.0,36-57-37,86-32-49,,WAY FM
K201FF,88.1,WINNEMUCCA,NV,0.0,0.01,41-00-31,117-46-10,,CSN INTERNATIONAL
WSMF,88.1,MONROE,MI,5.0,5.0,41-55-08,83-22-34,,SMILE FM MICHIGAN'S POSITIVE HITS
KECG,88.1,EL CERRITO,CA,0.017,0.017,37-54-20,122-17-34,,
KTFY,88.1,BUHL,ID,0.0,60.0,42-43-48,114-25-06,,
KLFO,88.1,FLORENCE,OR,0.25,0.25,43-57-26,124-04-26,,
KLBR,88.1,BEND,OR,5.0,5.0,44-02-49,121-31-50,2D37,
WLXP,88.1,SAVANNAH,GA,5.5,5.5,32-03-48,81-02-56,7419,AIR1
KFLB-FM,88.1,STANTON,TX,100.0,100.0,32-05-44,101-48-47,1E53,FAMILY LIFE RADIO
WKVY,88.1,SOMERSET,KY,0.0,4.0,37-04-36,84-48-39,714A,K-LOVE
KTUA,88.1,COWETA,OK,100.0,100.0,36-07-55,96-14-23,4434,AIR1
K201FW,88.1,LOS GATOS,CA,0.12,0.12,37-21-01,121-53-27,,MOODY RADIO
W201AI,88.1,COEBURN,VA,0.09,0.0,36-56-34,82-30-31,,MOUNTAIN COMMUNITY RADIO 88.7
KPRQ,88.1,SHERIDAN,WY,0.45,0.45,44-37-26,107-07-02,,YELLOWSTONE PUBLIC RADIO
WLGH,88.1,LEROY TOWNSHIP,MI,0.001,33.0,42-42-20,84-21-27,7257,SMILE FM MICHIGAN'S POSITIVE HITS
WMTG-LP,88.1,MOUNT GILEAD,NC,0.027,0.027,35-13-08,80-00-17,,
W201AJ,88.1,BIG STONE GAP,VA,0.09,0.0,36-50-27,82-44-20,,MOUNTAIN COMMUNITY RADIO 88.7
WMWK,88.1,MILWAUKEE,WI,4.2,4.2,43-05-26,87-53-50,,FAMILY RADIO
K201HJ,88.1,LINCOLN PARK,CO,0.03,0.03,38-25-20,105-09-05,,LIGHT PRAISE RADIO
WXLU,88.1,PERU,NY,1.0,1.0,44-34-25,73-40-29,8562,NORTH COUNTRY PUBLIC RADIO
WSFP,88.1,HARRISVILLE,MI,20.0,20.0,44-42-12,83-31-27,,SMILE FM MICHIGAN'S POSITIVE HITS
WPEB,88.1,PHILADELPHIA,PA,0.0,0.01,39-56-53,75-13-09,,
W201BE,88.1,BUFFALO,NY,0.08,0.08,42-55-56,78-47-06,,REACH RADIO GOSPEL
K201HR,88.1,FORT BRAGG,CA,0.0,0.099,39-28-03,123-45-34,,LISTENER SUPPORTED COMMUNITY RADIO
KAWD-LP,88.1,DETROIT LAKES,MN,0.1,0.0,46-49-43,95-49-44,,AMERICAN FAMILY RADIO
WBLW,88.1,GAYLORD,MI,0.0,5.0,45-10-12,84-45-04,,88.1 THE LIVING WORD
K201FP,88.1,ARAPAHO,OK,0.0,0.08,35-31-19,98-52-20,,CSN INTERNATIONAL
KRQA,88.1,BENTONVILLE,AR,1.0,1.0,36-23-37,94-10-53,3E84,AIR1
W201CC,88.1,BUFORD,GA,0.019,0.019,34-06-20,83-55-49,,CSN INTERNATIONAL
KLBT,88.1,BEAUMONT,TX,30.0,28.5,29-54-52,94-17-06,,KLBT 88.1 LIVE BY TRUTH
KPAQ,88.1,PLAQUEMINE,LA,90.0,90.0,30-15-41,91-18-40,37AC,AMERICAN FAMILY RADIO
K201DZ,88.1,GALVESTON,TX,0.2,0.2,29-24-44,94-57-09,,RADIO ALELUYA
KZSC,88.1,SANTA CRUZ,CA,20.0,20.0,37-00-10,122-03-04,,COLLEGE RADIO THAT ROCKS
KFTG,88.1,PASADENA,TX,0.7,0.658,29-41-18,95-12-07,1F28,RADIO ALELUYA
KJTY,88.1,TOPEKA,KS,75.0,75.0,39-02-21,95-26-59,29CA,FAMILY LIFE RADIO
KQUE-FM,88.1,BAY CITY,TX,3.6,3.6,28-48-03,96-07-32,,RADIO ALELUYA
K201ES,88.1,RIPLEY/BLYTHE,CA,0.05,0.05,33-37-03,114-46-21,,EFFECT RADIO
K201HX,88.1,MESQUITE,NV,0.25,0.25,36-49-05,114-03-40,,NEVADA PUBLIC RADIO
WDPR,88.1,DAYTON,OH,0.6,0.6,39-43-16,84-15-00,5E2B,DISCOVER CLASSICAL 88.1
K201IB,88.1,HEBER-OVERGAARD,AZ,0.0,0.205,34-25-20,110-35-58,,
KIDS,88.1,GRANTS,NM,0.1,0.1,35-07-09,107-54-02,,NEW MEXICO PUBLIC MEDIA
KUSW,88.1,FLORA VISTA,NM,0.0,4.1,36-40-16,108-13-54,,FOUR CORNERS PUBLIC RADIO
KFHC,88.1,PONCA,NE,2.28,8.8,42-27-48,96-37-02,1DEC,CATHOLIC RADIO 88.1
WYPR,88.1,BALTIMORE,MD,15.5,15.5,39-19-53,76-39-28,959F,YOUR NPR NEWS STATION
WZGL,88.1,CHARLESTON,IL,2.1,2.1,39-28-38,88-08-25,,"FAITH HOPE, FAMILY"
WSJL,88.1,BESSEMER,AL,0.01,15.0,33-23-45,87-01-07,,WE SHARE JESUS' LOVE
WKIV,88.1,WESTERLY,RI,1.0,1.0,41-24-18,71-48-44,6FF5,K-LOVE
KPGS,88.1,PAGOSA SPRINGS,CO,0.0,1.0,37-11-48,107-07-01,,FOUR CORNERS PUBLIC RADIO
K201FQ,88.1,HILO,HI,0.0,0.25,19-41-48,155-03-05,,CSN INTERNATIONAL
WGHW,88.1,LOCKWOODS FOLLY TOWN,NC,0.0,52.0,34-05-52,77-58-18,0000,OLD PATHS RADIO NETWORK
KNMA,88.1,TULAROSA,NM,0.0,3.34,32-49-47,105-53-10,,CSN INTERNATIONAL
KCTI-FM,88.1,GONZALES,TX,1.3,1.3,29-29-09,97-29-17,,SUN RADIO 103.1
WSDP,88.1,PLYMOUTH,MI,0.2,0.2,42-20-50,83-29-51,,88.1 THE PARK
WHHN,88.1,HOLLIDAYSBURG,PA,0.85,0.67,40-29-19,78-21-20,67E7,RADIO MARIA
WJSP-FM,88.1,WARM SPRINGS,GA,100.0,100.0,32-51-08,84-42-04,6E4F,GEORGIA PUBLIC RADIO
KLUW,88.1,EAST WENATCHEE,WA,0.6,0.6,47-22-52,120-17-16,2F2A,K-LOVE
KGGA,88.1,GALLUP,NM,1.2,1.2,35-36-15,108-40-53,,NEW MEXICO PUBLIC MEDIA
WWGV,88.1,GROVE CITY,OH,14.0,14.0,39-43-16,83-08-36,8F71,AMERICAN FAMILY RADIO
KKWV,88.1,ARANSAS PASS,TX,8.5,8.5,27-52-02,97-13-07,0000,AMERICAN FAMILY RADIO
KRLP,88.1,FAIRMONT,MN,0.6,0.6,43-53-03,95-10-56,3E11,K-LOVE
K201CC,88.1,LAS CRUCES,NM,0.0,0.25,32-15-38,106-46-00,,STAR 88
WDNJ,88.1,HOPATCONG,NJ,0.0,0.5,40-56-25,74-36-48,0000,WDNJ FM 88.1
WNBV,88.1,GRUNDY,VA,0.0,0.1,37-17-18,82-05-09,,88.1 GOD'S COUNTRY
KIYU-FM,88.1,GALENA,AK,0.1,0.1,64-44-32,156-50-39,,NATIONAL PUBLIC RADIO
WVPE,88.1,ELKHART,IN,11.5,11.5,41-36-49,86-11-20,A8A6,YOUR NPR STATION
WJZZ-FM,88.1,MONTGOMERY,NY,1.15,1.15,41-28-37,74-16-10,,
KZGM,88.1,CABOOL,MO,0.0,12.5,37-07-15,92-00-09,,KZ88 COMMUNITY RADIO
K201HV,88.1,JANSEN,CO,0.01,0.01,37-14-14,104-30-52,,LIGHT PRAISE RADIO
WMAW-FM,88.1,MERIDIAN,MS,100.0,100.0,32-08-18,89-05-36,746E,MPB THINK RADIO
KVLW,88.1,GATESVILLE,TX,0.0,17.0,31-18-54,97-19-37,48A8,K-LOVE
DKARH,88.1,FORREST CITY,AR,4.2,4.2,35-12-11,90-33-57,11C1,AMERICAN FAMILY RADIO
KDJC,88.1,BAKER,OR,0.0,0.775,45-07-26,117-46-48,,CSN INTERNATIONAL
WZZD,88.1,WARWICK,PA,0.001,0.43,40-07-45,75-52-43,59CA,WORD FM
W201BO,88.1,VINCENNES,IN,0.013,0.013,38-41-02,87-26-08,,WINNING OTHERS TO JESUS
K201EG,88.1,KETCHIKAN,AK,0.09,0.09,55-21-14,131-40-57,,K-LOVE
WKJL,88.1,CLARKSBURG,WV,19.0,32.0,39-17-59,80-17-30,,HE'S ALIVE RADIO
KYGR,88.1,ALAMO,NM,0.4,0.4,34-25-01,107-30-04,,K-BEAR
WYGG,88.1,ASBURY PARK,NJ,0.001,0.78,40-13-02,74-00-38,,WYGG 88.1 FM
K201HS,88.1,WORLAND,WY,0.05,0.05,44-04-00,107-51-50,,CSN INTERNATIONAL
KFGR,88.1,POWELL,WY,0.6,0.6,44-35-07,108-51-01,,FREE GRACE RADIO
W201DI,88.1,MONROE,NC,0.17,0.17,35-00-35,80-34-51,,WINNING OTHERS TO JESUS
WRIH,88.1,RICHMOND,VA,0.0,5.0,37-42-54,77-21-55,8263,AMERICAN FAMILY RADIO
WWER,88.1,COLONIAL BEACH,VA,0.1,0.1,38-15-45,76-59-54,,
KTCV,88.1,KENNEWICK,WA,0.0,3.5,46-13-07,119-12-01,,KTCV 88.1 THE EDGE
